Departamento,Fecha,Hora,Temperatura,Velocidad_Viento,Precipitacion,Humedad,Pronostico,Ciudad
BOYACÁ,2023-04-10,11:00,15.4,2.7,0.0,68.6,Parcialmente Nublado,Tunja
BOYACÁ,2023-04-10,12:00,16.1,3.0,0.0,67.4,Nublado,Tunja
BOYACÁ,2023-04-10,13:00,16.5,3.1,0.0,71.9,Nublado,Tunja
BOYACÁ,2023-04-10,14:00,16.8,3.0,0.0,73.8,Nublado,Tunja
BOYACÁ,2023-04-10,15:00,16.7,2.8,0.0,75.5,Nublado,Tunja
BOYACÁ,2023-04-10,16:00,15.9,2.8,0.0,79.6,Nublado,Tunja
BOYACÁ,2023-04-10,17:00,14.6,2.2,0.0,84.8,Nublado,Tunja
BOYACÁ,2023-04-10,18:00,13.1,1.9,0.0,92.0,Nublado,Tunja
BOYACÁ,2023-04-10,19:00,12.0,1.8,0.0,90.9,Nublado,Tunja
BOYACÁ,2023-04-10,20:00,11.4,1.8,0.0,92.0,Parcialmente Nublado,Tunja
BOYACÁ,2023-04-10,21:00,10.9,1.8,0.0,93.3,Parcialmente Nublado,Tunja
BOYACÁ,2023-04-10,22:00,10.5,1.5,0.0,94.6,Parcialmente Nublado,Tunja
BOYACÁ,2023-04-10,23:00,10.1,1.6,0.0,95.7,Parcialmente Nublado,Tunja
BOYACÁ,2023-04-11,00:00,9.8,1.6,0.0,96.2,Parcialmente Nublado,Tunja
BOYACÁ,2023-04-11,01:00,9.5,1.5,0.0,96.3,Parcialmente Nublado,Tunja
BOYACÁ,2023-04-11,02:00,9.1,1.7,0.0,95.0,Parcialmente Nublado,Tunja
BOYACÁ,2023-04-11,03:00,8.9,1.8,0.0,95.2,Parcialmente Nublado,Tunja
BOYACÁ,2023-04-11,04:00,8.7,1.6,0.0,96.0,Parcialmente Nublado,Tunja
BOYACÁ,2023-04-11,05:00,8.5,1.3,0.0,95.1,Parcialmente Nublado,Tunja
BOYACÁ,2023-04-11,06:00,8.5,1.3,0.0,94.9,Parcialmente Nublado,Tunja
BOYACÁ,2023-04-11,07:00,9.7,1.5,0.0,89.9,Parcialmente Nublado,Tunja
BOYACÁ,2023-04-11,08:00,11.7,1.9,0.0,83.6,Parcialmente Nublado,Tunja
BOYACÁ,2023-04-11,09:00,13.4,2.1,0.0,77.2,Despejado,Tunja
BOYACÁ,2023-04-11,10:00,14.6,2.3,0.0,71.8,Parcialmente Nublado,Tunja
BOYACÁ,2023-04-11,11:00,15.6,2.7,0.0,69.8,Nublado,Tunja
BOYACÁ,2023-04-11,12:00,16.3,2.8,0.0,73.7,Nublado,Tunja
BOYACÁ,2023-04-11,13:00,16.8,3.0,0.0,72.3,Parcialmente Nublado,Tunja
BOYACÁ,2023-04-11,14:00,16.8,3.2,0.0,76.8,Nublado,Tunja
BOYACÁ,2023-04-11,15:00,16.5,3.1,0.0,75.9,Nublado,Tunja
BOYACÁ,2023-04-11,16:00,15.9,2.9,0.0,76.2,Parcialmente Nublado,Tunja
BOYACÁ,2023-04-11,17:00,14.5,2.2,0.0,79.3,Parcialmente Nublado,Tunja
BOYACÁ,2023-04-11,18:00,13.1,1.9,0.0,89.2,Nublado,Tunja
BOYACÁ,2023-04-11,19:00,12.0,1.8,0.0,89.2,Nublado,Tunja
BOYACÁ,2023-04-11,20:00,11.2,1.6,0.0,88.1,Parcialmente Nublado,Tunja
BOYACÁ,2023-04-11,21:00,10.7,1.4,0.0,85.7,Parcialmente Nublado,Tunja
BOYACÁ,2023-04-11,22:00,10.3,1.3,0.0,91.2,Parcialmente Nublado,Tunja
BOYACÁ,2023-04-11,23:00,9.9,1.3,0.0,90.5,Parcialmente Nublado,Tunja
BOYACÁ,2023-04-12,00:00,9.6,1.0,0.0,92.1,Parcialmente Nublado,Tunja
BOYACÁ,2023-04-12,01:00,9.2,0.9,0.0,91.6,Parcialmente Nublado,Tunja
BOYACÁ,2023-04-12,02:00,8.8,1.1,0.0,91.5,Parcialmente Nublado,Tunja
BOYACÁ,2023-04-12,03:00,8.5,1.2,0.0,91.6,Parcialmente Nublado,Tunja
BOYACÁ,2023-04-12,04:00,8.2,1.3,0.0,97.2,Parcialmente Nublado,Tunja
